,Outcome,Inplay,Event,Pitch,Description,Start_speed,End_speed,breakAngle,breakLength,breakY,breakVertical,breakHorizontal,breakVerticalInduced,spinRate,location,batter_name,batter_side,batter_split,pitcher_id,pitcher_name,pitcher_hand,pitcher_split,Date
115,C,False,,Sinker,Called Strike,86.6,79.9,26.4,6.0,24.0,,,,1816,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
116,B,False,,Slider,Ball,81.0,75.2,7.2,8.4,24.0,,,,454,,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
117,X,True,,Changeup,"In play, out(s)",80.6,74.4,32.4,9.6,24.0,,,,2364,4,Raul Ibanez,L,vs_RHP,408206,Brett Myers,R,vs_LHB,2011-04-01
118,B,False,,Four-Seam Fastball,Ball,87.7,80.6,26.4,3.6,24.0,,,,2403,,Ben Francisco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
119,X,True,,Sinker,"In play, out(s)",87.2,80.1,34.8,7.2,24.0,,,,2317,5,Ben Francisco,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
120,B,False,,Slider,Ball,82.5,77.0,4.8,8.4,24.0,,,,411,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
121,B,False,,Slider,Ball,81.3,75.4,4.8,8.4,24.0,,,,306,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
122,C,False,,Changeup,Called Strike,80.0,73.7,2.4,9.6,24.0,,,,129,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
123,T,False,,Four-Seam Fastball,Foul Tip,88.2,81.2,9.6,4.8,24.0,,,,1422,,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
124,X,True,,Four-Seam Fastball,"In play, out(s)",88.8,81.5,10.8,4.8,24.0,,,,1362,8,Carlos Ruiz,R,vs_RHP,408206,Brett Myers,R,vs_RHB,2011-04-01
125,C,False,,Sinker,Called Strike,88.0,80.1,22.8,6.0,24.0,,,,1812,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
126,F,False,,Sinker,Foul,88.1,80.8,27.6,6.0,24.0,,,,1939,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
127,F,False,,Changeup,Foul,82.3,77.3,20.4,8.4,24.0,,,,1551,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
128,B,False,,Changeup,Ball,81.8,76.6,27.6,9.6,24.0,,,,2122,,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
129,D,True,,Curveball,"In play, no out",76.8,71.6,12.0,10.8,24.0,,,,857,4,Angel Sanchez,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
130,F,False,,Cutter,Foul,88.6,82.6,10.8,6.0,24.0,,,,1120,,Hunter Pence,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
131,B,False,,Sinker,Ball,90.8,83.1,32.4,7.2,24.0,,,,2182,,Hunter Pence,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
132,D,True,,Cutter,"In play, no out",88.7,81.5,6.0,6.0,24.0,,,,824,9,Hunter Pence,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
133,B,False,,Sinker,Ball,90.3,83.4,30.0,8.4,24.0,,,,2128,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
134,B,False,,Sinker,Ball,89.8,83.4,27.6,8.4,24.0,,,,2045,,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
135,X,True,,Curveball,"In play, out(s)",76.9,71.7,8.4,12.0,24.0,,,,802,4,Carlos Lee,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
136,F,False,,Cutter,Foul,89.2,82.4,10.8,6.0,24.0,,,,1031,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
137,F,False,,Cutter,Foul,89.7,83.3,10.8,6.0,24.0,,,,1136,,Bill Hall,R,vs_RHP,136880,Roy Halladay,R,vs_RHB,2011-04-01
